,path,flow,ID,node,IATA,name,lon,lat
57,"(1, 1, 58)",0.000286311,11193,420,CVG,Cincinnati Northern Kentucky International Airport,-84.6678009033,39.0488014221
58,"(1, 1, 59)",0.00027346,12391,460,ISP,Long Island Mac Arthur Airport,-73.10019684,40.79520035
59,"(1, 1, 60)",0.00026953599999999996,13244,18,MEM,Memphis International Airport,-89.97669982910156,35.04240036010742
60,"(1, 1, 61)",0.000241597,13342,530,MKE,General Mitchell International Airport,-87.89659881591797,42.94720077514648
61,"(1, 1, 62)",0.000227127,14711,104,SCE,University Park Airport,-77.84870147710002,40.8493003845
62,"(1, 1, 63)",0.00022013599999999998,14098,261,PHF,Newport News Williamsburg International Airport,-76.49299622,37.13190079
63,"(1, 1, 64)",0.000216297,10577,259,BGM,Greater Binghamton/Edwin A Link field,-75.97979736,42.20869827
64,"(1, 1, 65)",0.00021498,15016,369,STL,St Louis Lambert International Airport,-90.370003,38.748697
65,"(1, 1, 66)",0.00021385,14057,319,PDX,Portland International Airport,-122.59799960000001,45.58869934
66,"(1, 1, 67)",0.00021375400000000003,10599,179,BHM,Birmingham-Shuttlesworth International Airport,-86.75350189,33.56290054
67,"(1, 1, 68)",0.00020818,15412,216,TYS,McGhee Tyson Airport,-83.99400329999999,35.81100082
68,"(1, 1, 69)",0.00020784700000000002,11146,372,CRW,Yeager Airport,-81.59320068359375,38.37310028076172
69,"(1, 1, 70)",0.000199188,11042,128,CLE,Cleveland Hopkins International Airport,-81.8498001099,41.411701202399996
70,"(1, 1, 71)",0.000196447,12323,479,ILM,Wilmington International Airport,-77.90260314941406,34.27059936523437
71,"(1, 1, 72)",0.000190315,10581,15,BGR,Bangor International Airport,-68.82810211181639,44.80739974975586
72,"(1, 1, 73)",0.000188834,14986,13,SRQ,Sarasota Bradenton International Airport,-82.55439758300781,27.39539909362793
73,"(1, 1, 74)",0.00018853200000000002,10990,503,CHO,Charlottesville Albemarle Airport,-78.4529037475586,38.13859939575195
74,"(1, 1, 75)",0.000187598,10868,342,CAE,Columbia Metropolitan Airport,-81.11949920654297,33.93880081176758
75,"(1, 1, 76)",0.000179537,15070,555,SWF,Stewart International Airport,-74.10479736328125,41.50410079956055
76,"(1, 1, 77)",0.000171105,14685,198,SAV,Savannah Hilton Head International Airport,-81.20210266,32.12760162
77,"(1, 1, 78)",0.000162112,10431,318,AVL,Asheville Regional Airport,-82.54180145263672,35.43619918823242
78,"(1, 1, 79)",0.000157448,12397,456,ITH,Ithaca Tompkins Regional Airport,-76.4583969116211,42.49100112915039
79,"(1, 1, 80)",0.000154761,11537,96,ELM,Elmira Corning Regional Airport,-76.8916015625,42.1599006652832
80,"(1, 1, 81)",0.000154492,11641,542,FAY,Fayetteville Regional Grannis Field,-78.88030242919922,34.991199493408196
81,"(1, 1, 82)",0.000152261,14683,199,SAT,San Antonio International Airport,-98.46980285644531,29.533700942993164
82,"(1, 1, 83)",0.00015178200000000002,12197,114,HPN,Westchester County Airport,-73.70760345458984,41.06700134277344
83,"(1, 1, 84)",0.000144743,12945,113,LEX,Blue Grass Airport,-84.60590362548828,38.0364990234375
84,"(1, 1, 85)",0.00014312100000000001,12217,392,HSV,Huntsville International Carl T Jones Field,-86.775100708008,34.637199401855
85,"(1, 1, 86)",0.00013188799999999998,12478,240,JFK,John F Kennedy International Airport,-73.77890015,40.63980103
86,"(1, 1, 87)",0.000129676,14193,184,PNS,Pensacola Regional Airport,-87.18659973144501,30.473400115967003
87,"(1, 1, 88)",0.000126254,11618,65,EWR,Newark Liberty International Airport,-74.168701171875,40.69250106811523
88,"(1, 1, 89)",0.00012512,15323,77,TRI,Tri-Cities Regional TN/VA Airport,-82.40740100000001,36.475201
89,"(1, 1, 90)",0.000120159,10423,471,AUS,Austin Bergstrom International Airport,-97.6698989868164,30.194499969482425
89,"(1, 1, 90)",0.000120159,10423,471,AUS,Austin Robert Mueller Municipal,-97.6997852325,30.2987223546
90,"(1, 1, 91)",0.00011749799999999999,11624,221,EYW,Key West International Airport,-81.75959777832031,24.556100845336914
91,"(1, 1, 92)",0.000117005,14704,511,SBY,Salisbury Ocean City Wicomico Regional Airport,-75.51029968261719,38.34049987792969
92,"(1, 1, 93)",0.00011685700000000001,11986,11,GRR,Gerald R. Ford International Airport,-85.52279663,42.88079834
93,"(1, 1, 94)",0.00010575600000000001,15295,301,TOL,Toledo Express Airport,-83.80780029,41.58679962
94,"(1, 1, 95)",0.00010374700000000001,11252,414,DAB,Daytona Beach International Airport,-81.058098,29.179899
95,"(1, 1, 96)",9.78385e-05,11617,62,EWN,Coastal Carolina Regional Airport,-77.04290008539998,35.0730018616
96,"(1, 1, 97)",9.746309999999999e-05,14696,38,SBN,South Bend Regional Airport,-86.31729888916016,41.70869827270508
97,"(1, 1, 98)",9.50436e-05,13871,154,OMA,Eppley Airfield,-95.89409599999999,41.3032
99,"(1, 1, 100)",9.206450000000001e-05,13139,345,LYH,Lynchburg Regional Preston Glenn Field,-79.20040130615234,37.326698303222656
100,"(1, 1, 101)",8.62663e-05,13360,289,MLB,Melbourne International Airport,-80.64530181884766,28.10280036926269
101,"(1, 1, 102)",8.575120000000001e-05,11699,200,FLO,Florence Regional Airport,-79.7238998413086,34.18539810180664
102,"(1, 1, 103)",8.49896e-05,10208,23,AGS,Augusta Regional At Bush Field,-81.9645004272461,33.36989974975586
104,"(1, 1, 105)",8.03431e-05,14893,241,SMF,Sacramento International Airport,-121.59100341796876,38.69540023803711
105,"(1, 1, 106)",8.02445e-05,12244,57,HVN,Tweed New Haven Airport,-72.88680267,41.26369858
106,"(1, 1, 107)",7.88946e-05,10980,341,CHA,Lovell Field,-85.20379638671875,35.03530120849609
107,"(1, 1, 108)",7.55254e-05,12365,553,IPT,Williamsport Regional Airport,-76.92109680175781,41.241798400878906
108,"(1, 1, 109)",7.1657e-05,12992,191,LIT,Bill & Hillary Clinton National Airport/Adams Field,-92.22429656979999,34.729400634799994
109,"(1, 1, 110)",6.848479999999999e-05,12264,311,IAD,Washington Dulles International Airport,-77.45580292,38.94449997
110,"(1, 1, 111)",6.55065e-05,14092,258,PGV,Pitt Greenville Airport,-77.38529968,35.6352005
112,"(1, 1, 113)",6.01829e-05,14908,394,SNA,John Wayne Airport-Orange County Airport,-117.86799620000001,33.67570114
113,"(1, 1, 114)",5.94829e-05,12124,64,HHH,Hilton Head Airport,-80.6975021362,32.2243995667
114,"(1, 1, 115)",5.85472e-05,15919,125,XNA,Northwest Arkansas Regional Airport,-94.30680100000001,36.281898
115,"(1, 1, 116)",5.64633e-05,10158,230,ACY,Atlantic City International Airport,-74.57720184326172,39.45759963989258
116,"(1, 1, 117)",5.51838e-05,11612,63,EVV,Evansville Regional Airport,-87.53240203860001,38.0369987488
117,"(1, 1, 118)",5.38019e-05,15624,181,VPS,Destin-Ft Walton Beach Airport,-86.525398,30.4832
118,"(1, 1, 119)",4.83984e-05,13422,37,MOB,Mobile Regional Airport,-88.242797851562,30.691200256348
119,"(1, 1, 120)",4.80515e-05,11823,5,FWA,Fort Wayne International Airport,-85.19509888,40.97850037
120,"(1, 1, 121)",4.51624e-05,11953,467,GNV,Gainesville Regional Airport,-82.27179718020001,29.6900997162
121,"(1, 1, 122)",4.4616e-05,15376,559,TUS,Tucson International Airport,-110.94100189208984,32.116100311279304
122,"(1, 1, 123)",4.31774e-05,11973,267,GPT,Gulfport Biloxi International Airport,-89.07009887695312,30.40730094909668
123,"(1, 1, 124)",4.1889300000000006e-05,12448,79,JAN,Jackson-Medgar Wiley Evers International Airport,-90.0758972168,32.3111991882
124,"(1, 1, 125)",3.7839699999999996e-05,13277,415,MGM,Montgomery Regional (Dannelly Field) Airport,-86.39399719,32.30059814
125,"(1, 1, 126)",3.77073e-05,12884,124,LAN,Capital City Airport,-84.58740234375,42.77870178222656
126,"(1, 1, 127)",3.6801e-05,11423,361,DSM,Des Moines International Airport,-93.66310119628906,41.53400039672852
127,"(1, 1, 128)",3.67753e-05,13541,33,MVY,Martha's Vineyard Airport,-70.6143035889,41.393100738499996
128,"(1, 1, 129)",3.10463e-05,14570,285,RNO,Reno Tahoe International Airport,-119.76799774169922,39.49909973144531
129,"(1, 1, 130)",3.04519e-05,10781,469,BTR,Baton Rouge Metropolitan Airport,-91.149597,30.533199
130,"(1, 1, 131)",3.02905e-05,10140,67,ABQ,Albuquerque International Sunport,-106.609001,35.040199
132,"(1, 1, 133)",2.64229e-05,10469,409,AZO,Kalamazoo Battle Creek International Airport,-85.5521011352539,42.234901428222656
133,"(1, 1, 134)",2.62817e-05,13485,157,MSN,Dane County Regional Truax Field,-89.3375015258789,43.13990020751953
134,"(1, 1, 135)",2.5685100000000002e-05,10361,388,ART,Watertown International Airport,-76.02169799804688,43.99190139770508
135,"(1, 1, 136)",2.2272399999999997e-05,14231,323,PQI,Northern Maine Regional Airport at Presque Isle,-68.0447998,46.68899918
137,"(1, 1, 138)",2.15752e-05,11441,45,DUJ,DuBois Regional Airport,-78.8986969,41.17829895
138,"(1, 1, 139)",2.13974e-05,11481,393,ECP,Northwest Florida Beaches International Airport,-85.79541400000001,30.357105999999998
139,"(1, 1, 140)",2.06077e-05,11721,541,FNT,Bishop International Airport,-83.74359893798828,42.96540069580078
140,"(1, 1, 141)",2.0528600000000002e-05,11003,54,CID,The Eastern Iowa Airport,-91.71080017089844,41.88470077514648
142,"(1, 1, 143)",1.9876199999999998e-05,11638,378,FAT,Fresno Yosemite International Airport,-119.71800231933594,36.77619934082031
143,"(1, 1, 144)",1.9426800000000002e-05,15249,73,TLH,Tallahassee Regional Airport,-84.35030364990234,30.396499633789066
144,"(1, 1, 145)",1.91381e-05,12932,21,LEB,Lebanon Municipal Airport,-72.30419921880002,43.626098632799994
145,"(1, 1, 146)",1.87079e-05,13232,483,MDW,Chicago Midway International Airport,-87.752403,41.785999
146,"(1, 1, 147)",1.8698699999999998e-05,14831,316,SJC,Norman Y. Mineta San Jose International Airport,-121.929001,37.362598
147,"(1, 1, 148)",1.81747e-05,10322,494,AOO,Altoona Blair County Airport,-78.31999969,40.29639816
148,"(1, 1, 149)",1.80906e-05,14814,97,SHV,Shreveport Regional Airport,-93.8256,32.446602
149,"(1, 1, 150)",1.75066e-05,16133,492,YNG,Youngstown Warren Regional Airport,-80.67910004,41.26070023
150,"(1, 1, 151)",1.72784e-05,10154,226,ACK,Nantucket Memorial Airport,-70.06020355,41.25310135
151,"(1, 1, 152)",1.68081e-05,11027,304,CKB,North Central West Virginia Airport,-80.2281036377,39.2966003418
152,"(1, 1, 153)",1.6293099999999998e-05,11067,376,CMI,University of Illinois Willard Airport,-88.27809906,40.03919983
153,"(1, 1, 154)",1.6087599999999998e-05,14783,87,SGF,Springfield Branson National Airport,-93.38860321,37.24570084
154,"(1, 1, 155)",1.4572200000000001e-05,13032,346,LNS,Lancaster Airport,-76.29609680175781,40.12170028686523
155,"(1, 1, 156)",1.42826e-05,14802,268,SHD,Shenandoah Valley Regional Airport,-78.8964004517,38.2638015747
158,"(1, 1, 159)",1.34122e-05,11150,197,CSG,Columbus Metropolitan Airport,-84.93890380859375,32.516300201416016
159,"(1, 1, 160)",1.2662999999999999e-05,14108,165,PIA,General Wayne A. Downing Peoria International Airport,-89.6932983398,40.664199829100006
161,"(1, 1, 162)",1.1283699999999998e-05,14869,399,SLC,Salt Lake City International Airport,-111.97799682617188,40.78839874267578
162,"(1, 1, 163)",1.08243e-05,13367,290,MLI,Quad City International Airport,-90.50749969482422,41.44850158691406
163,"(1, 1, 164)",1.07496e-05,10557,493,BFD,Bradford Regional Airport,-78.64009857177734,41.8031005859375
164,"(1, 1, 165)",1.05543e-05,14025,227,PBG,Plattsburgh International Airport,-73.46810150146484,44.6509017944336
167,"(1, 1, 168)",8.137010000000001e-06,10216,423,AHN,Athens Ben Epps Airport,-83.32630157470703,33.94860076904297
169,"(1, 1, 170)",7.770210000000001e-06,13290,370,MHK,Manhattan Regional Airport,-96.6707992553711,39.14099884033203
170,"(1, 1, 171)",7.02443e-06,10849,94,BZN,Gallatin Field,-111.15299990000001,45.77750015
172,"(1, 1, 173)",6.717460000000001e-06,13476,126,MRY,Monterey Peninsula Airport,-121.84300231933594,36.58700180053711
173,"(1, 1, 174)",6.49216e-06,13795,382,OAJ,Albert J Ellis Airport,-77.61209869380002,34.8292007446
174,"(1, 1, 175)",6.3546300000000005e-06,14689,204,SBA,Santa Barbara Municipal Airport,-119.8399963,34.42620087
175,"(1, 1, 176)",6.09351e-06,12441,78,JAC,Jackson Hole Airport,-110.73799896240234,43.6072998046875
177,"(1, 1, 178)",5.838290000000001e-06,11684,40,FKL,Venango Regional Airport,-79.8603973389,41.3778991699
180,"(1, 1, 181)",5.47394e-06,10414,68,AUG,Augusta State Airport,-69.7973022461,44.320598602299995
181,"(1, 1, 182)",5.44823e-06,11648,539,FCA,Glacier Park International Airport,-114.25599670410156,48.31050109863281
182,"(1, 1, 183)",5.1375e-06,11503,502,EGE,Eagle County Regional Airport,-106.9179993,39.64260101
185,"(1, 1, 186)",4.62555e-06,13121,505,LWB,Greenbrier Valley Airport,-80.3994979858,37.8582992554
186,"(1, 1, 187)",4.54989e-06,10620,222,BIL,Billings Logan International Airport,-108.54299926757812,45.807701110839844
187,"(1, 1, 188)",4.26944e-06,14875,250,SLK,Adirondack Regional Airport,-74.2061996459961,44.38529968261719
188,"(1, 1, 189)",4.186090000000001e-06,12191,109,HOU,William P Hobby Airport,-95.27890015,29.64539909
189,"(1, 1, 190)",4.08189e-06,12094,461,HDN,Yampa Valley Airport,-107.21800230000001,40.48120117
191,"(1, 1, 192)",3.6993099999999997e-06,13490,309,MSS,Massena International Richards Field,-74.84559631347656,44.93579864501953
192,"(1, 1, 193)",3.4633300000000003e-06,10589,19,BHB,Hancock County-Bar Harbor Airport,-68.36150359999999,44.45000076
194,"(1, 1, 195)",3.00675e-06,11540,7,ELP,El Paso International Airport,-106.37799840000002,31.80719948
195,"(1, 1, 196)",2.97369e-06,14457,30,RAP,Rapid City Regional Airport,-103.05699920654295,44.0452995300293
197,"(1, 1, 198)",2.5720799999999998e-06,12119,536,HGR,Hagerstown Regional Richard A Henson Field,-77.72949982,39.707901
198,"(1, 1, 199)",2.5394299999999998e-06,12559,549,JST,John Murtha Johnstown Cambria County Airport,-78.83390045166016,40.31610107421875
199,"(1, 1, 200)",2.53197e-06,10372,551,ASE,Aspen-Pitkin Co/Sardy Field,-106.8690033,39.22320175
200,"(1, 1, 201)",2.2887200000000003e-06,16218,103,YUM,Yuma MCAS/Yuma International Airport,-114.6060028,32.65660095
201,"(1, 1, 202)",2.2539700000000004e-06,15370,556,TUL,Tulsa International Airport,-95.88809967041016,36.19839859008789
202,"(1, 1, 203)",2.10611e-06,14252,513,PSC,Tri Cities Airport,-119.11900329589844,46.26470184326172
203,"(1, 1, 204)",2.0205400000000002e-06,14131,70,PKB,Mid Ohio Valley Regional Airport,-81.43920135498047,39.34510040283203
204,"(1, 1, 205)",1.9083900000000004e-06,11637,379,FAR,Hector International Airport,-96.81580352783205,46.92070007324219
205,"(1, 1, 206)",1.8255599999999999e-06,11921,484,GJT,Grand Junction Regional Airport,-108.527000427,39.1223983765
206,"(1, 1, 207)",1.81642e-06,12278,150,ICT,Wichita Eisenhower National Airport,-97.433098,37.649899
207,"(1, 1, 208)",1.7721200000000003e-06,10713,246,BOI,Boise Air Terminal/Gowen Field,-116.223,43.5644
208,"(1, 1, 209)",1.7397299999999998e-06,10408,228,ATW,Appleton International Airport,-88.51909637450001,44.258098602299995
209,"(1, 1, 210)",1.7056900000000002e-06,11259,413,DAL,Dallas Love Field,-96.851799,32.847099
210,"(1, 1, 211)",1.66294e-06,12250,455,HYA,Barnstable Municipal Boardman Polando Field,-70.28040314,41.66930008
211,"(1, 1, 212)",1.6594400000000002e-06,13459,374,MQT,Sawyer International Airport,-87.39540100100001,46.3535995483
212,"(1, 1, 213)",1.6586700000000001e-06,13264,427,MFR,Rogue Valley International Medford Airport,-122.8730010986328,42.37419891357422
213,"(1, 1, 214)",1.6138299999999999e-06,14262,424,PSP,Palm Springs International Airport,-116.50700378417969,33.829700469970696
215,"(1, 1, 216)",1.54155e-06,14674,4,SAF,Santa Fe Municipal Airport,-106.08899688700001,35.617099761999995
216,"(1, 1, 217)",1.45072e-06,13502,110,MTJ,Montrose Regional Airport,-107.89399719200001,38.5097999573
217,"(1, 1, 218)",1.40947e-06,11140,373,CRP,Corpus Christi International Airport,-97.5011978149414,27.77039909362793
218,"(1, 1, 219)",1.3855100000000002e-06,13851,447,OKC,Will Rogers World Airport,-97.60070037841795,35.39310073852539
219,"(1, 1, 220)",1.37591e-06,13029,189,LNK,Lincoln Airport,-96.75920104980469,40.85100173950195
220,"(1, 1, 221)",1.34648e-06,11203,317,CWA,Central Wisconsin Airport,-89.6668014526,44.7775993347
221,"(1, 1, 222)",1.24176e-06,14539,218,RKD,Knox County Regional Airport,-69.09919739,44.06010056
225,"(1, 1, 226)",1.11649e-06,12280,127,IDA,Idaho Falls Regional Airport,-112.070999,43.514599
226,"(1, 1, 227)",1.04183e-06,12206,561,HRL,Valley International Airport,-97.65440368652344,26.228500366210934
227,"(1, 1, 228)",1.0204500000000001e-06,12494,121,JHW,Chautauqua County-Jamestown Airport,-79.25800323,42.15340042
228,"(1, 1, 229)",1.00683e-06,10643,367,BKG,Branson Airport,-93.200544,36.532082
229,"(1, 1, 230)",1.00211e-06,10157,81,ACV,California Redwood Coast-Humboldt County Airport,-124.109,40.978101
230,"(1, 1, 231)",9.93005e-07,15380,523,TVC,Cherry Capital Airport,-85.58219909667969,44.74140167236328
231,"(1, 1, 232)",9.42326e-07,11413,279,DRO,Durango La Plata County Airport,-107.75399780299999,37.1515007019
232,"(1, 1, 233)",8.819929999999999e-07,11977,231,GRB,Austin Straubel International Airport,-88.12960052490234,44.48509979248047
233,"(1, 1, 234)",8.64387e-07,13184,385,MBS,MBS International Airport,-84.07959747314453,43.532901763916016
234,"(1, 1, 235)",8.50201e-07,14952,490,SPI,Abraham Lincoln Capital Airport,-89.67790222,39.84410095
236,"(1, 1, 237)",8.139310000000001e-07,12012,43,GUC,Gunnison Crested Butte Regional Airport,-106.9329987,38.53390121
238,"(1, 1, 239)",7.387739999999999e-07,13486,160,MSO,Missoula International Airport,-114.0910034,46.91630173
239,"(1, 1, 240)",6.947870000000001e-07,10654,211,BKW,Raleigh County Memorial Airport,-81.1241989136,37.787300109899995
240,"(1, 1, 241)",6.848659999999999e-07,12003,203,GTF,Great Falls International Airport,-111.3710022,47.48199844
241,"(1, 1, 242)",6.41509e-07,12343,247,INL,Falls International Airport,-93.4030990600586,48.566200256347656
242,"(1, 1, 243)",6.342600000000001e-07,10747,155,BRO,Brownsville South Padre Island International Airport,-97.4259033203125,25.90679931640625
243,"(1, 1, 244)",6.33114e-07,10800,28,BUR,Bob Hope Airport,-118.35900115966795,34.200698852539055
244,"(1, 1, 245)",6.03159e-07,11337,234,DLH,Duluth International Airport,-92.19360351559999,46.8420982361
245,"(1, 1, 246)",5.98894e-07,11308,140,DHN,Dothan Regional Airport,-85.44960021972656,31.3213005065918
246,"(1, 1, 247)",5.76273e-07,12223,245,HTS,Tri-State/Milton J. Ferguson Field,-82.55799866,38.36669922
247,"(1, 1, 248)",5.713e-07,15374,558,TUP,Tupelo Regional Airport,-88.7698974609375,34.26810073852539
248,"(1, 1, 249)",5.44112e-07,10136,29,ABI,Abilene Regional Airport,-99.68190002440001,32.4113006592
249,"(1, 1, 250)",5.40296e-07,13158,175,MAF,Midland International Airport,-102.2020034790039,31.9424991607666
250,"(1, 1, 251)",5.3235e-07,11778,442,FSM,Fort Smith Regional Airport,-94.36740112304688,35.33660125732422
251,"(1, 1, 252)",5.18335e-07,14487,272,RDD,Redding Municipal Airport,-122.2929993,40.50899887
252,"(1, 1, 253)",5.12106e-07,10155,266,ACT,Waco Regional Airport,-97.23049926757812,31.61129951477051
253,"(1, 1, 254)",4.80099e-07,14842,404,SJT,San Angelo Regional Mathis Field,-100.49600219726562,31.35770034790039
255,"(1, 1, 256)",4.7233400000000005e-07,14633,497,RST,Rochester International Airport,-92.5,43.90829849243164
256,"(1, 1, 257)",4.70905e-07,11109,434,COS,City of Colorado Springs Municipal Airport,-104.70099599999999,38.805801
257,"(1, 1, 258)",4.5363599999999997e-07,14761,133,SFB,Orlando Sanford International Airport,-81.23750305175781,28.7775993347168
258,"(1, 1, 259)",4.3411499999999994e-07,11097,348,COD,Yellowstone Regional Airport,-109.024002075,44.520198822
259,"(1, 1, 260)",4.1873999999999995e-07,10185,426,AEX,Alexandria International Airport,-92.54979705810548,31.32740020751953
260,"(1, 1, 261)",4.16086e-07,13256,178,MFE,Mc Allen Miller International Airport,-98.23860168,26.17580032
261,"(1, 1, 262)",3.7149e-07,10728,297,BPT,Southeast Texas Regional Airport,-94.02069854736328,29.9507999420166
262,"(1, 1, 263)",3.14889e-07,10685,303,BMI,Central Illinois Regional Airport at Bloomington-Normal,-88.91590118,40.47710037
263,"(1, 1, 264)",3.06996e-07,14150,260,PLN,Pellston Regional Airport of Emmet County Airport,-84.79669952,45.57089996
265,"(1, 1, 266)",2.45689e-07,13076,412,LSE,La Crosse Municipal Airport,-91.256699,43.879002
266,"(1, 1, 267)",8.21248e-08,11076,537,CMX,Houghton County Memorial Airport,-88.48909759521484,47.16839981079102
