77 => 76 23
77 => 78 19
77 => 67 25
77 => 87 26
76 => 66 28
76 => 86 26
76 => 75 23
76 => 77 25
76 77 => 87 10
75 => 85 26
75 => 74 26
75 => 76 27
75 => 65 21
75 76 => 77 10
66 => 65 24
66 => 56 30
66 => 67 27
66 => 76 31
66 76 => 66 11
67 => 77 22
67 => 66 31
67 => 57 31
67 => 68 26
67 66 => 56 10
76 66 => 67 10
65 => 55 33
65 => 75 21
65 => 64 22
65 => 66 25
66 65 => 55 12
55 => 54 33
55 => 65 32
55 => 45 33
55 => 56 27
55 65 => 66 10
55 65 => 75 10
45 => 46 27
45 => 44 26
45 => 35 28
45 => 55 36
45 55 => 56 10
45 55 => 45 12
65 55 => 54 12
54 => 64 28
54 => 44 31
54 => 55 29
54 => 53 36
64 => 74 35
64 => 54 30
64 => 63 25
64 => 65 22
64 54 => 44 10
55 54 => 53 10
55 54 => 55 11
44 => 45 37
44 => 54 36
44 => 43 28
44 => 34 30
44 54 => 53 11
44 54 => 44 10
54 64 => 74 10
63 => 62 16
63 => 73 13
63 => 64 34
63 => 53 27
63 64 => 74 12
74 => 73 20
74 => 84 27
74 => 75 22
74 => 64 28
64 74 => 75 10
64 74 => 84 11
75 74 => 64 12
73 => 72 22
73 => 83 19
73 => 74 18
73 => 63 16
72 => 71 31
72 => 82 20
72 => 62 20
72 => 73 22
71 => 61 21
71 => 72 26
71 => 81 26
71 => 70 28
71 72 => 71 10
81 => 71 20
81 => 91 36
81 => 82 29
81 => 80 20
81 71 => 70 11
70 => 79 23
70 => 80 17
70 => 60 30
70 => 71 17
70 71 => 81 14
72 71 => 72 12
61 => 51 19
61 => 62 29
61 => 71 33
61 => 60 20
61 71 => 70 11
60 => 69 32
60 => 61 26
60 => 50 22
60 => 70 26
60 61 => 71 17
51 => 52 26
51 => 41 23
51 => 50 19
51 => 61 33
41 => 51 44
41 => 42 27
41 => 31 21
41 => 40 24
41 51 => 50 16
41 51 => 41 10
50 => 59 30
50 => 40 28
50 => 51 16
50 => 60 25
50 51 => 61 10
52 => 53 36
52 => 42 30
52 => 62 27
52 => 51 23
51 52 => 53 10
42 => 43 36
42 => 52 25
42 => 32 21
42 => 41 31
42 52 => 53 11
53 => 52 40
53 => 43 45
53 => 54 26
53 => 63 26
53 52 => 42 13
53 52 => 62 11
54 53 => 43 14
63 53 => 43 10
63 53 => 52 10
52 53 => 52 12
52 53 => 43 10
52 42 => 43 10
43 => 44 42
43 => 33 31
43 => 42 32
43 => 53 39
43 42 => 43 11
43 42 => 41 11
33 => 34 25
33 => 23 37
33 => 32 30
33 => 43 37
33 43 => 53 10
33 43 => 44 12
42 43 => 44 11
42 43 => 53 10
45 44 => 54 10
34 => 24 27
34 => 44 31
34 => 33 27
34 => 35 24
34 44 => 45 11
34 44 => 54 10
43 44 => 45 14
43 44 => 34 11
43 44 => 43 10
55 45 => 55 12
44 45 => 55 13
46 => 36 32
46 => 56 22
46 => 45 30
46 => 47 25
45 46 => 45 11
36 => 26 25
36 => 37 24
36 => 35 14
36 => 46 30
36 46 => 36 10
46 36 => 26 10
26 => 36 20
26 => 25 23
26 => 27 14
26 => 16 12
37 => 38 37
37 => 36 22
37 => 47 26
37 => 27 19
38 => 48 32
38 => 37 32
38 => 39 30
38 => 28 20
38 37 => 27 10
38 37 => 38 10
47 => 37 30
47 => 48 33
47 => 46 28
47 => 57 28
47 37 => 38 10
39 => 30 25
39 => 49 32
39 => 38 29
39 => 29 18
39 38 => 37 16
37 38 => 39 12
37 38 => 48 10
48 => 49 30
48 => 47 36
48 => 58 28
48 => 38 26
38 48 => 38 10
38 48 => 49 13
58 => 68 29
58 => 48 31
58 => 59 35
58 => 57 27
58 48 => 58 10
47 48 => 47 11
49 => 59 41
49 => 39 27
49 => 40 24
49 => 48 25
39 49 => 59 10
39 49 => 40 10
48 49 => 59 13
59 => 69 31
59 => 58 37
59 => 50 36
59 => 49 32
59 49 => 59 12
49 59 => 50 12
49 59 => 58 12
58 59 => 69 13
50 59 => 50 12
69 => 68 25
69 => 60 29
69 => 79 25
69 => 59 31
69 59 => 58 11
60 69 => 60 12
59 69 => 59 11
59 69 => 68 12
68 => 67 29
68 => 58 34
68 => 78 21
68 => 69 16
58 68 => 67 14
67 68 => 58 10
57 => 56 31
57 => 58 24
57 => 47 32
57 => 67 32
57 67 => 57 12
78 => 77 19
78 => 88 20
78 => 68 19
78 => 79 24
79 => 78 29
79 => 70 15
79 => 69 32
79 => 89 13
79 78 => 68 11
56 => 57 32
56 => 66 28
56 => 46 22
56 => 55 28
57 56 => 57 12
66 56 => 55 12
47 57 => 67 11
56 57 => 56 10
58 57 => 47 11
48 58 => 59 11
59 58 => 48 11
59 58 => 57 10
68 58 => 68 10
35 => 36 20
35 => 34 22
35 => 45 20
35 => 25 21
23 => 33 36
23 => 22 19
23 => 13 24
23 => 24 20
23 33 => 43 15
23 33 => 23 10
32 => 22 29
32 => 33 37
32 => 42 24
32 => 31 22
32 33 => 23 10
32 33 => 32 11
34 33 => 23 11
43 33 => 34 11
24 => 23 19
24 => 25 17
24 => 34 35
24 => 14 23
24 34 => 44 11
24 34 => 24 10
44 34 => 33 11
23 24 => 34 10
34 24 => 34 12
22 => 32 27
22 => 23 28
22 => 12 27
22 => 21 25
22 23 => 33 10
33 23 => 33 13
32 22 => 21 10
12 => 2 30
12 => 11 26
12 => 13 21
12 => 22 29
12 22 => 32 11
33 32 => 22 10
33 32 => 33 12
31 => 41 37
31 => 21 28
31 => 32 34
31 => 30 16
31 32 => 33 12
13 => 14 25
13 => 12 25
13 => 23 15
13 => 3 24
12 13 => 12 10
14 => 4 21
14 => 15 30
14 => 24 23
14 => 13 20
13 14 => 15 11
4 => 3 26
4 => 5 20
4 => 14 25
4 => 94 17
94 => 84 18
94 => 93 28
94 => 95 28
94 => 4 24
94 4 => 5 10
3 => 93 31
3 => 2 31
3 => 13 23
3 => 4 21
4 3 => 2 11
2 => 92 29
2 => 12 28
2 => 1 25
2 => 3 31
2 3 => 2 10
93 => 83 29
93 => 3 27
93 => 92 26
93 => 94 27
93 3 => 93 10
94 93 => 94 12
83 => 93 29
83 => 73 19
83 => 82 29
83 => 84 26
83 93 => 3 11
84 => 94 30
84 => 85 22
84 => 74 20
84 => 83 30
84 83 => 82 13
